success,choosen_pattern.is_walkable,0.is_walkable,1.is_walkable,2.is_walkable,3.is_walkable,5.is_walkable,6.is_walkable,7.is_walkable,8.is_walkable
True,1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
False,0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0
True,0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0
False,0,0.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
True,0,0.0,0.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0
False,1,0.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
True,0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
False,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0
True,0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
False,0,0.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0
True,0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0
False,0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0
True,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0
False,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0
True,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
False,1,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,-1.0
True,1,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
False,1,-1.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,1.0
True,1,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
True,0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0
True,0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,1.0
False,0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0
False,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0
True,1,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,0.0
True,0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0
False,0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0
True,1,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
